id,folder,filename,motion_category
00001.mp4,splashing,2-1-7-1-4-2-8-7-8421714287_4.mp4,"['Fall', 'Explode']"
00005.mp4,scratching,8-8YqOo4mY4_57.mp4,['Fall']
00006.mp4,lifting,8EFJmuyC95c_56.mp4,['Put']
00007.mp4,driving,9-3-2-8-1-3-7-6-18293281376_2.mp4,['Proceed']
00010.mp4,boating,alPfDarG3ak_34.mp4,['Proceed']
00011.mp4,buttoning,no_video_found,['Put']
00012.mp4,combusting,boat-exploding-in-harbor-beneath-a-bridge-video-idmr_00101286.mp4,['Explode']
00013.mp4,emptying,chef-spoons-sauce-over-fish-on-a-plate-available-in-hd-video-id1BT10338_0451.mp4,['Fall']
00014.mp4,hiking,close-up-of-a-man-and-a-woman-hiking-up-a-hill-video-idtri506511_0016.mp4,['Proceed']
00015.mp4,rising,flickr-0-0-8-4-5-4-8-9-5400845489_3.mp4,['Explode']
00018.mp4,reading,flickr-0-4-8-6-9-9-2-3-14204869923_1.mp4,"['Fall', 'Put']"
00020.mp4,cooking,flickr-2-0-8-1-3-4-1-1-16620813411_1.mp4,['Fall']
00022.mp4,pitching,flickr-2-8-7-5-1-8-4-7-5328751847_3.mp4,"['Proceed', 'Fall']"
00023.mp4,shopping,flickr-3-5-1-5-0-3-4-8-16435150348_14.mp4,['Put']
00026.mp4,erupting,flickr-4-0-3-7-4-0-5-7-15940374057_128.mp4,['Explode']
00027.mp4,shoveling,flickr-4-6-1-0-3-1-8-5-12646103185_32.mp4,['Fall']
00028.mp4,diving,flickr-4-6-1-7-1-7-0-0-21446171700_2.mp4,['Proceed']
00030.mp4,chasing,flickr-5-5-5-7-9-7-8-3-13955579783_13.mp4,['Proceed']
00032.mp4,running,flickr-7-5-8-8-8-9-3-3-5175888933_2.mp4,['Proceed']
00034.mp4,boarding,flickr-8-3-1-7-1-6-6-9-4583171669_2.mp4,"['Proceed', 'Fall']"
00035.mp4,catching,flickr-8-8-9-8-5-4-8-5-15388985485_2.mp4,['Fall']
00036.mp4,clinging,flickr-9-1-9-6783536919_8.mp4,['Fall']
00037.mp4,saluting,getty--video-idmr_00093816_5.mp4,['Proceed']
00041.mp4,gambling,getty-1960s-group-of-senior-men-playing-cards-in-club-video-id103943906_4.mp4,['Fall']
00042.mp4,dressing,getty-4kyoung-men-tying-shoelaces-video-id531220660_3.mp4,['Put']
00043.mp4,dunking,getty-a-basketball-backboard-net-and-rim-and-a-black-male-player-slam-the-video-id135924271_6.mp4,"['Proceed', 'Fall']"
00045.mp4,giving,getty-adult-man-giving-shawl-to-his-father-in-diwali-festival-delhi-india-video-id598665738_1.mp4,['Put']
00048.mp4,piloting,getty-airline-pilot-watches-as-airplane-passes-overhead-early-evening-video-id489014789_10.mp4,['Proceed']
00049.mp4,spraying,getty-airplanes-flying-overhead-aerial-nazi-bomber-airplane-inflight-w-video-id509841441_12.mp4,['Explode']
00050.mp4,landing,getty-airplanes-landing-in-the-barcelona-airport-on-sunset-light-with-video-id533611636_1.mp4,['Proceed']
00051.mp4,sprinkling,getty-aloe-vera-video-id472984139_2.mp4,"['Fall', 'Explode']"
00054.mp4,dropping,getty-anchor-dropping-antalya-turkey-video-id494206802_1.mp4,"['Fall', 'Explode']"
00055.mp4,bowling,getty-andrew-cowen-is-practicing-to-bowl-a-perfect-300-game-while-bowling-video-id450057228_46.mp4,['Fall']
00057.mp4,filling,getty-answer-sheet-exam-filling-test-paper-video-id490700378_6.mp4,['Put']
00058.mp4,colliding,getty-apartment-building-demolition-video-id456860096_5.mp4,['Fall']
00059.mp4,injecting,getty-apple-genetic-modification-video-id145765682_15.mp4,['Fall']
00060.mp4,carrying,getty-artisanal-bakery-video-id623390170_2.mp4,['Proceed']
00061.mp4,slicing,getty-artisssanal-bakery-2-video-id625054440_3.mp4,['Cut_Delete']
00062.mp4,sketching,getty-artist-working-in-his-workshop-video-id534971644_15.mp4,['Put']
00063.mp4,painting,getty-artist-working-in-the-studio-video-id584058176_13.mp4,['Put']
00064.mp4,plunging,getty-asian-family-on-vacation-splashing-at-a-resort-pool-video-id649963792_6.mp4,['Explode']
00067.mp4,combing,getty-asian-woman-combing-her-hair-video-id683188978_1.mp4,['Fall']
00068.mp4,packing,getty-assembly-line-of-produce-packers-packing-lettuce-video-id154114116_24.mp4,['Put']
00070.mp4,skiing,getty-atlete-competes-in-the-ski-jumping-competition-during-nordic-combined-video-id528010270_2.mp4,['Proceed']
00072.mp4,rinsing,getty-automatic-washing-machine-video-id500339893_8.mp4,['Fall']
00073.mp4,crawling,getty-baby-girl-crawling-through-a-yellow-tunnel-video-id477022098_2.mp4,['Proceed']
00075.mp4,loading,getty-baggage-loading-in-airplane-airport-luxembourgfindel-luxembourg-video-id142076092_14.mp4,['Proceed']
00076.mp4,baking,getty-baking-cannelloni-in-the-oven-4k-time-lapse-video-id501613058_5.mp4,"['Fall', 'Explode']"
00078.mp4,starting,getty-barber-draping-cape-over-clients-shoulders-before-shave-in-barber-video-id830178802_1.mp4,['Fall']
00079.mp4,shaving,getty-barber-shaving-mans-beard-video-id511556722_3.mp4,['Put']
00081.mp4,opening,getty-bartender-at-bar-video-idjptv0045228_3.mp4,['Put']
00082.mp4,bubbling,getty-beer-wine-bubbles-in-glass-ntsc-30p-video-id103383229_9.mp4,['Fall']
00083.mp4,flying,getty-bees-outside-hive-beeyard-at-mission-san-juan-capistrano-san-juan-video-id93392243_2.mp4,['Proceed']
00087.mp4,raining,getty-black-white-rain-drops-on-water-surface-video-id485140470_12.mp4,['Explode']
00088.mp4,snowing,getty-blue-jay-eating-in-snow-video-id637094764_5.mp4,['Fall']
00089.mp4,exercising,getty-blurred-fitness-abstract-fitness-gym-running-on-treadmill-video-id494273214_13.mp4,['Proceed']
00091.mp4,boiling,getty-boiled-vegettables-in-the-pot-video-id612444604_4.mp4,['Explode']
00092.mp4,burning,getty-bonfire-video-id840427466_4.mp4,"['Fall', 'Explode']"
00095.mp4,boxing,getty-boy-punching-bag-video-id639074028_10.mp4,['Proceed']
00096.mp4,steering,getty-boy-rides-a-bicycle-on-a-sidewalk-video-id683098007_3.mp4,['Proceed']
00098.mp4,spreading,getty-breakfast-set-served-highdefinition-video-pan-video-id474412236_4.mp4,['Fall']
00100.mp4,building,getty-brick-installation-video-id454329927_2.mp4,['Put']
00101.mp4,riding,getty-building-demolition-at-night-video-id514975472_15.mp4,['Proceed']
00102.mp4,bulldozing,getty-bulldozer-pushes-large-pile-of-recyclable-items-at-a-recycling-a-video-id534701150_15.mp4,"['Proceed', 'Put']"
00103.mp4,competing,getty-business-concept-darts-arrows-in-the-target-center-video-id584715094_20.mp4,"['Proceed', 'Fall']"
